title,price,url,Profit Margins
Playstation 3 Console,60.0,/marketplace/item/1213906973452451/,94.0
Video Game Statues,50.0,/marketplace/item/1814188235798356/,174.0
(Box & Manual Only) - DS Pokémon White 2 and Black Empty Boxes,35.0,/marketplace/item/3609929119309494/,383.0
PLAYSTATION  2 GAME'S $15 EACH  ALL WITH MANUELS  PICKUP AT SALISBURY,15.0,/marketplace/item/786151880507423/,203.0
DS game - Dragon Quest,25.0,/marketplace/item/1024195233201111/,1430.0
Doom3 Xbox game,5.0,/marketplace/item/1420979085751433/,47.0
Bluey game,20.0,/marketplace/item/1267090185085085/,40.0
LEGO Pirates of the Caribbean: The Video Game - Nintendo 3DS - Tested & Working,10.0,/marketplace/item/2766653333524981/,416.0
Vidéo game,40.0,/marketplace/item/947670860482707/,16.0
Nintendo 64 game manuals / booklets,10.0,/marketplace/item/4184266691796798/,267.0
Nintendo 64 game manuals / booklets,10.0,/marketplace/item/4184266691796798/,411.0
Level Up Xbox gaming tower,40.0,/marketplace/item/1063052179223211/,1257.0
Brand new game,10.0,/marketplace/item/649487121484188/,49.0
Resident Evil 6 (Xbox 360) - Video Game,5.0,/marketplace/item/1184289346717862/,178.0
Wii We Sing & We Sing Encore,15.0,/marketplace/item/1508897796958973/,323.0
Xbox game - Rocky,10.0,/marketplace/item/1064862369070089/,253.0
Hitman 3 PS4 Video Game,20.0,/marketplace/item/1545479503082173/,52.0
Detroit Become Human PS4 Video Game,25.0,/marketplace/item/1274681697633846/,116.0
Xbox 360 mass 3 effect,30.0,/marketplace/item/736479762073859/,138.0
GAME OF LIFE JUNIOR BOARD GAME,15.0,/marketplace/item/638552915351312/,486.0
Donkey Kong Land Gameboy Color Game Working Perfectly,40.0,/marketplace/item/742149418558515/,12.0
LA Noire Xbox 360,5.0,/marketplace/item/773419571706620/,19.0
LA Noire Xbox 360,5.0,/marketplace/item/773419571706620/,296.0
PlayStation game PS4 FIFA20,10.0,/marketplace/item/1091704609563726/,107.0
Guess Who Game,5.0,/marketplace/item/1276408033869985/,42.0
Guess Who Game,5.0,/marketplace/item/1276408033869985/,649.0
Horizon Zero Dawn PS4 Video Game,10.0,/marketplace/item/744525674691104/,599.0
Board Game Bloxels,10.0,/marketplace/item/1194572172129041/,967.0
Xbox Game Topspin 2K5 (NEW),10.0,/marketplace/item/1376017037096797/,356.0
007 Quantum of Solace,10.0,/marketplace/item/1016941247296204/,221.0
